event,horizon_s,rows,matches,avg_ask,avg_clv_mid,avg_clv_bid,avg_future_delay_s,positive_bid_clv_rate
side_mom_100_ge_3000,15,16,16,0.7693749999999999,-0.05374999999999998,-0.13749999999999996,25.25,0.3125
side_mom_100_ge_3000,30,24,23,0.7116666666666666,-0.038958333333333345,-0.11291666666666667,41.541666666666664,0.2916666666666667
side_mom_100_ge_3000,60,61,59,0.7098360655737703,-0.0262295081967213,-0.06852459016393442,61.52459016393443,0.32786885245901637
side_mom_100_ge_3000,120,52,51,0.7009615384615384,-0.0027884615384615305,-0.04326923076923076,122.61538461538461,0.46153846153846156
side_mom_100_ge_5000,15,10,10,0.613,-0.097,-0.17500000000000002,23.2,0.0
side_mom_100_ge_5000,30,13,13,0.6653846153846155,-0.018076923076923067,-0.07153846153846154,41.38461538461539,0.15384615384615385
side_mom_100_ge_5000,60,34,33,0.6947058823529412,-0.002205882352941177,-0.04029411764705882,61.970588235294116,0.4117647058823529
side_mom_100_ge_5000,120,23,23,0.6747826086956521,0.015869565217391315,-0.012608695652173915,125.1304347826087,0.43478260869565216
side_nw_crosses_5000,15,13,13,0.8207692307692309,-0.01769230769230771,-0.061538461538461514,20.53846153846154,0.15384615384615385
side_nw_crosses_5000,30,20,20,0.7270000000000001,0.027500000000000004,0.014500000000000016,43.7,0.35
side_nw_crosses_5000,60,56,55,0.7739285714285715,0.010178571428571426,-0.016785714285714286,62.267857142857146,0.375
side_nw_crosses_5000,120,49,48,0.76,0.02306122448979592,-0.007755102040816326,123.77551020408163,0.5306122448979592
side_nw_crosses_8000,15,15,15,0.858,-0.03633333333333335,-0.07933333333333335,23.133333333333333,0.26666666666666666
side_nw_crosses_8000,30,13,13,0.76,0.016538461538461526,-0.0007692307692307657,43.61538461538461,0.23076923076923078
side_nw_crosses_8000,60,51,50,0.8127450980392158,-0.011078431372549028,-0.04568627450980391,62.549019607843135,0.3137254901960784
side_nw_crosses_8000,120,33,33,0.803030303030303,-0.009090909090909096,-0.0409090909090909,124.21212121212122,0.30303030303030304
score_changes,15,21,21,0.4185714285714286,-0.035690476190476196,-0.07233333333333333,27.571428571428573,0.047619047619047616
score_changes,30,25,25,0.47200000000000003,-0.0354,-0.0676,39.32,0.12
score_changes,60,69,66,0.4017391304347826,-0.04651449275362318,-0.07766666666666666,61.666666666666664,0.11594202898550725
score_changes,120,60,59,0.44299999999999995,-0.041416666666666664,-0.06949999999999999,122.45,0.18333333333333332
building_state_changes,15,19,19,0.3884210526315789,-0.033947368421052636,-0.06736842105263158,27.94736842105263,0.05263157894736842
building_state_changes,30,27,27,0.4322222222222223,-0.04462962962962963,-0.08444444444444445,39.51851851851852,0.1111111111111111
building_state_changes,60,71,67,0.40605633802816904,-0.03992957746478872,-0.07042253521126761,61.76056338028169,0.1267605633802817
building_state_changes,120,57,56,0.4210526315789473,-0.03235964912280701,-0.056473684210526315,122.2280701754386,0.21052631578947367
