table,ask_bucket,state_bucket_type,state_bucket,rows,matches,avg_ask,win_rate,win_rate_minus_avg_ask,avg_pnl,total_pnl,robust_residual_bucket,robust_gate_reason
market_calibration,00_20,,,2015,79,0.12311662531017371,0.08982630272952853,-0.03329032258064518,-0.03329032258064517,-67.08000000000001,,
market_calibration,20_35,,,1542,85,0.27974708171206225,0.2509727626459144,-0.028774319066147858,-0.02877431906614787,-44.37000000000002,,
market_calibration,35_50,,,1415,65,0.43491166077738524,0.38303886925795055,-0.05187279151943469,-0.05187279151943462,-73.39999999999999,,
market_calibration,50_65,,,1295,57,0.5848185328185328,0.5505791505791506,-0.034239382239382166,-0.03423938223938224,-44.34,,
market_calibration,65_80,,,1510,81,0.7363377483443708,0.7105960264900663,-0.025741721854304567,-0.025741721854304633,-38.87,,
market_calibration,80_100,,,2204,90,0.8878212341197822,0.8715970961887477,-0.0162241379310345,-0.016224137931034482,-35.757999999999996,,
state_residual,00_20,side_nw_bucket,nw_-3k_3k,88,17,0.15215909090909088,0.06818181818181818,-0.0839772727272727,-0.08397727272727272,-7.389999999999999,False,nonpositive_residual
state_residual,00_20,side_nw_bucket,nw_-8k_-3k,675,60,0.1374074074074074,0.09481481481481481,-0.042592592592592585,-0.042592592592592605,-28.750000000000007,False,nonpositive_residual
state_residual,00_20,side_nw_bucket,nw_3k_8k,41,5,0.1402439024390244,0.5609756097560976,0.4207317073170732,0.42073170731707316,17.25,False,too_few_matches
state_residual,00_20,side_nw_bucket,nw_ge_8k,11,3,0.12727272727272726,0.2727272727272727,0.14545454545454545,0.14545454545454548,1.6,False,too_few_rows
state_residual,00_20,side_nw_bucket,nw_lt_-8k,1197,72,0.1124561403508772,0.07101086048454469,-0.04144527986633251,-0.04144527986633249,-49.60999999999999,False,nonpositive_residual
state_residual,20_35,side_nw_bucket,nw_-3k_3k,528,55,0.2881628787878788,0.2518939393939394,-0.03626893939393938,-0.036268939393939416,-19.150000000000013,False,nonpositive_residual
state_residual,20_35,side_nw_bucket,nw_-8k_-3k,559,67,0.2727728085867621,0.24865831842576028,-0.02411449016100184,-0.0241144901610018,-13.480000000000008,False,nonpositive_residual
state_residual,20_35,side_nw_bucket,nw_3k_8k,38,9,0.29842105263157886,0.5789473684210527,0.2805263157894738,0.28052631578947373,10.660000000000002,False,too_few_matches
state_residual,20_35,side_nw_bucket,nw_ge_8k,41,4,0.2736585365853659,0.8780487804878049,0.604390243902439,0.604390243902439,24.779999999999998,False,too_few_matches
state_residual,20_35,side_nw_bucket,nw_lt_-8k,375,47,0.2772266666666667,0.152,-0.12522666666666668,-0.12522666666666668,-46.96,False,nonpositive_residual
state_residual,35_50,side_nw_bucket,nw_-3k_3k,784,54,0.4374617346938776,0.45535714285714285,0.017895408163265236,0.01789540816326533,14.030000000000019,True,pass
state_residual,35_50,side_nw_bucket,nw_-8k_-3k,315,43,0.42104761904761906,0.23174603174603176,-0.1893015873015873,-0.1893015873015873,-59.63,False,nonpositive_residual
state_residual,35_50,side_nw_bucket,nw_3k_8k,140,16,0.447,0.37142857142857144,-0.07557142857142857,-0.07557142857142855,-10.579999999999998,False,nonpositive_residual
state_residual,35_50,side_nw_bucket,nw_ge_8k,30,8,0.455,0.6333333333333333,0.1783333333333333,0.17833333333333337,5.350000000000001,False,too_few_matches
state_residual,35_50,side_nw_bucket,nw_lt_-8k,146,21,0.4354109589041096,0.2808219178082192,-0.1545890410958904,-0.15458904109589042,-22.57,False,nonpositive_residual
state_residual,50_65,side_nw_bucket,nw_-3k_3k,764,50,0.5819371727748691,0.5549738219895288,-0.02696335078534029,-0.026963350785340325,-20.60000000000001,False,nonpositive_residual
state_residual,50_65,side_nw_bucket,nw_-8k_-3k,115,21,0.576695652173913,0.5130434782608696,-0.06365217391304345,-0.06365217391304348,-7.32,False,nonpositive_residual
state_residual,50_65,side_nw_bucket,nw_3k_8k,232,34,0.5947413793103448,0.5948275862068966,8.620689655181035e-05,8.620689655171464e-05,0.019999999999997797,True,pass
state_residual,50_65,side_nw_bucket,nw_ge_8k,130,17,0.5941538461538461,0.5769230769230769,-0.01723076923076927,-0.01723076923076922,-2.2399999999999984,False,nonpositive_residual
state_residual,50_65,side_nw_bucket,nw_lt_-8k,54,10,0.5777777777777778,0.3148148148148148,-0.262962962962963,-0.26296296296296295,-14.2,False,nonpositive_residual
state_residual,65_80,side_nw_bucket,nw_-3k_3k,621,62,0.7307729468599035,0.714975845410628,-0.015797101449275486,-0.015797101449275354,-9.809999999999995,False,nonpositive_residual
state_residual,65_80,side_nw_bucket,nw_-8k_-3k,68,13,0.7185294117647059,0.7205882352941176,0.0020588235294117796,0.00205882352941176,0.13999999999999968,True,pass
state_residual,65_80,side_nw_bucket,nw_3k_8k,504,62,0.7394642857142856,0.7261904761904762,-0.01327380952380941,-0.01327380952380952,-6.689999999999998,False,nonpositive_residual
state_residual,65_80,side_nw_bucket,nw_ge_8k,260,35,0.7477307692307693,0.7923076923076923,0.04457692307692296,0.044576923076923076,11.59,True,pass
state_residual,65_80,side_nw_bucket,nw_lt_-8k,56,10,0.7376785714285715,0.125,-0.6126785714285715,-0.6126785714285715,-34.31,False,nonpositive_residual
state_residual,80_100,side_nw_bucket,nw_-3k_3k,181,29,0.8642541436464088,0.712707182320442,-0.1515469613259669,-0.15154696132596684,-27.43,False,nonpositive_residual
state_residual,80_100,side_nw_bucket,nw_-8k_-3k,75,7,0.8687999999999999,0.6933333333333334,-0.17546666666666655,-0.1754666666666667,-13.160000000000002,False,too_few_matches
state_residual,80_100,side_nw_bucket,nw_3k_8k,820,68,0.8806317073170731,0.8719512195121951,-0.008680487804877957,-0.008680487804878047,-7.1179999999999986,False,nonpositive_residual
state_residual,80_100,side_nw_bucket,nw_ge_8k,1091,70,0.8988542621448213,0.923923006416132,0.025068744271310672,0.025068744271310724,27.35,True,pass
state_residual,80_100,side_nw_bucket,nw_lt_-8k,36,8,0.8738888888888889,0.4444444444444444,-0.4294444444444445,-0.4294444444444444,-15.459999999999999,False,too_few_matches
state_residual,00_20,side_mom_100_bucket,mom_-1k_1k,621,63,0.12810789049919485,0.08051529790660225,-0.0475925925925926,-0.0475925925925926,-29.555000000000007,False,nonpositive_residual
state_residual,00_20,side_mom_100_bucket,mom_-5k_-1k,1018,71,0.1218418467583497,0.0825147347740668,-0.0393271119842829,-0.03932711198428291,-40.035000000000004,False,nonpositive_residual
state_residual,00_20,side_mom_100_bucket,mom_1k_5k,111,23,0.13135135135135134,0.12612612612612611,-0.005225225225225227,-0.005225225225225226,-0.5800000000000001,False,nonpositive_residual
state_residual,00_20,side_mom_100_bucket,mom_ge_5k,24,5,0.13208333333333333,0.5,0.36791666666666667,0.36791666666666667,8.83,False,too_few_rows
state_residual,00_20,side_mom_100_bucket,mom_lt_-5k,212,45,0.11018867924528301,0.07547169811320754,-0.03471698113207547,-0.03471698113207548,-7.360000000000003,False,nonpositive_residual
state_residual,20_35,side_mom_100_bucket,mom_-1k_1k,575,72,0.2788,0.2,-0.07879999999999998,-0.07880000000000001,-45.31,False,nonpositive_residual
state_residual,20_35,side_mom_100_bucket,mom_-5k_-1k,614,74,0.2814169381107492,0.23452768729641693,-0.04688925081433226,-0.04688925081433227,-28.790000000000013,False,nonpositive_residual
state_residual,20_35,side_mom_100_bucket,mom_1k_5k,192,34,0.28171875,0.421875,0.14015624999999998,0.14015624999999998,26.909999999999997,True,pass
state_residual,20_35,side_mom_100_bucket,mom_ge_5k,20,8,0.26949999999999996,0.65,0.38050000000000006,0.38050000000000006,7.610000000000001,False,too_few_rows
state_residual,20_35,side_mom_100_bucket,mom_lt_-5k,123,26,0.27967479674796747,0.2764227642276423,-0.0032520325203251876,-0.003252032520325219,-0.4000000000000019,False,nonpositive_residual
state_residual,35_50,side_mom_100_bucket,mom_-1k_1k,667,60,0.43667166416791603,0.37631184407796103,-0.060359820089954996,-0.06035982008995501,-40.25999999999999,False,nonpositive_residual
state_residual,35_50,side_mom_100_bucket,mom_-5k_-1k,355,54,0.4322816901408451,0.3211267605633803,-0.11115492957746481,-0.1111549295774648,-39.46,False,nonpositive_residual
state_residual,35_50,side_mom_100_bucket,mom_1k_5k,286,45,0.43671328671328674,0.4755244755244755,0.03881118881118878,0.038811188811188835,11.100000000000007,True,pass
state_residual,35_50,side_mom_100_bucket,mom_ge_5k,38,10,0.4371052631578947,0.5263157894736842,0.08921052631578946,0.08921052631578946,3.3899999999999997,True,pass
state_residual,35_50,side_mom_100_bucket,mom_lt_-5k,59,15,0.42237288135593215,0.2711864406779661,-0.15118644067796605,-0.1511864406779661,-8.92,False,nonpositive_residual
state_residual,50_65,side_mom_100_bucket,mom_-1k_1k,589,52,0.58660441426146,0.5789473684210527,-0.007657045840407384,-0.007657045840407475,-4.5100000000000025,False,nonpositive_residual
state_residual,50_65,side_mom_100_bucket,mom_-5k_-1k,251,44,0.581792828685259,0.4701195219123506,-0.11167330677290832,-0.11167330677290838,-28.03,False,nonpositive_residual
state_residual,50_65,side_mom_100_bucket,mom_1k_5k,352,45,0.5842045454545454,0.5625,-0.021704545454545365,-0.021704545454545452,-7.639999999999999,False,nonpositive_residual
state_residual,50_65,side_mom_100_bucket,mom_ge_5k,44,14,0.5920454545454545,0.6136363636363636,0.021590909090909105,0.021590909090909098,0.9500000000000003,True,pass
state_residual,50_65,side_mom_100_bucket,mom_lt_-5k,47,11,0.5759574468085107,0.48936170212765956,-0.08659574468085113,-0.08659574468085107,-4.07,False,nonpositive_residual
state_residual,65_80,side_mom_100_bucket,mom_-1k_1k,615,70,0.7335447154471545,0.7479674796747967,0.014422764227642215,0.014422764227642267,8.869999999999994,True,pass
state_residual,65_80,side_mom_100_bucket,mom_-5k_-1k,217,39,0.7299539170506911,0.5483870967741935,-0.18156682027649762,-0.18156682027649773,-39.400000000000006,False,nonpositive_residual
state_residual,65_80,side_mom_100_bucket,mom_1k_5k,512,68,0.7382421875,0.751953125,0.013710937499999964,0.013710937499999992,7.019999999999996,True,pass
state_residual,65_80,side_mom_100_bucket,mom_ge_5k,122,24,0.7464754098360656,0.6721311475409836,-0.07434426229508206,-0.07434426229508197,-9.07,False,nonpositive_residual
state_residual,65_80,side_mom_100_bucket,mom_lt_-5k,31,11,0.7512903225806452,0.45161290322580644,-0.29967741935483877,-0.29967741935483866,-9.29,False,nonpositive_residual
state_residual,80_100,side_mom_100_bucket,mom_-1k_1k,693,70,0.8828860028860029,0.8946608946608947,0.011774891774891771,0.01177489177489178,8.160000000000004,True,pass
state_residual,80_100,side_mom_100_bucket,mom_-5k_-1k,188,34,0.8846808510638298,0.7819148936170213,-0.1027659574468085,-0.10276595744680851,-19.32,False,nonpositive_residual
state_residual,80_100,side_mom_100_bucket,mom_1k_5k,1073,83,0.8903821062441752,0.8853681267474371,-0.005013979496738097,-0.005013979496738117,-5.379999999999999,False,nonpositive_residual
state_residual,80_100,side_mom_100_bucket,mom_ge_5k,188,37,0.8985106382978723,0.9042553191489362,0.0057446808510639435,0.0057446808510638395,1.0800000000000018,True,pass
state_residual,80_100,side_mom_100_bucket,mom_lt_-5k,35,9,0.8685714285714285,0.37142857142857144,-0.4971428571428571,-0.4971428571428571,-17.4,False,too_few_matches
state_residual,00_20,side_kill_mom_bucket,kill_mom_-2_-1,221,35,0.11773755656108595,0.07692307692307693,-0.04081447963800902,-0.04081447963800905,-9.02,False,nonpositive_residual
state_residual,00_20,side_kill_mom_bucket,kill_mom_0,290,55,0.12724137931034482,0.05172413793103448,-0.07551724137931035,-0.07551724137931035,-21.900000000000002,False,nonpositive_residual
state_residual,00_20,side_kill_mom_bucket,kill_mom_1_2,188,38,0.12382978723404255,0.09574468085106383,-0.028085106382978717,-0.02808510638297872,-5.279999999999999,False,nonpositive_residual
state_residual,00_20,side_kill_mom_bucket,kill_mom_ge_3,620,55,0.12591129032258064,0.1064516129032258,-0.019459677419354837,-0.01945967741935484,-12.065000000000001,False,nonpositive_residual
state_residual,00_20,side_kill_mom_bucket,kill_mom_le_-3,672,55,0.12021577380952381,0.08928571428571429,-0.03093005952380952,-0.03093005952380954,-20.78500000000001,False,nonpositive_residual
state_residual,20_35,side_kill_mom_bucket,kill_mom_-2_-1,160,35,0.27162500000000006,0.30625,0.03462499999999996,0.03462499999999999,5.539999999999998,True,pass
state_residual,20_35,side_kill_mom_bucket,kill_mom_0,261,57,0.27819923371647504,0.25287356321839083,-0.025325670498084207,-0.025325670498084298,-6.610000000000002,False,nonpositive_residual
state_residual,20_35,side_kill_mom_bucket,kill_mom_1_2,131,34,0.2914503816793893,0.26717557251908397,-0.024274809160305333,-0.024274809160305354,-3.1800000000000015,False,nonpositive_residual
state_residual,20_35,side_kill_mom_bucket,kill_mom_ge_3,464,61,0.28172413793103446,0.22198275862068967,-0.05974137931034479,-0.05974137931034485,-27.72000000000001,False,nonpositive_residual
state_residual,20_35,side_kill_mom_bucket,kill_mom_le_-3,508,61,0.2795472440944882,0.2637795275590551,-0.01576771653543313,-0.015767716535433088,-8.010000000000009,False,nonpositive_residual
state_residual,35_50,side_kill_mom_bucket,kill_mom_-2_-1,127,33,0.43362204724409437,0.2992125984251969,-0.1344094488188975,-0.13440944881889763,-17.07,False,nonpositive_residual
state_residual,35_50,side_kill_mom_bucket,kill_mom_0,247,51,0.4418623481781377,0.4251012145748988,-0.016761133603238887,-0.01676113360323886,-4.139999999999998,False,nonpositive_residual
state_residual,35_50,side_kill_mom_bucket,kill_mom_1_2,131,32,0.4431297709923664,0.4122137404580153,-0.030916030534351102,-0.030916030534351137,-4.049999999999999,False,nonpositive_residual
state_residual,35_50,side_kill_mom_bucket,kill_mom_ge_3,463,52,0.4319870410367171,0.3650107991360691,-0.06697624190064799,-0.06697624190064794,-31.009999999999994,False,nonpositive_residual
state_residual,35_50,side_kill_mom_bucket,kill_mom_le_-3,437,57,0.43221967963386726,0.391304347826087,-0.040915331807780286,-0.04091533180778029,-17.87999999999999,False,nonpositive_residual
