match_id,market_id,condition_id,market_name,market_type,label_market_bucket,current_game_number,series_type,side,token_id,opposing_token_id,received_at_utc,received_at_ns,game_time_sec,book_received_at_utc,book_received_at_ns,book_age_ms,book_best_bid,book_best_ask,book_bid_size,book_ask_size,book_mid,book_spread,settled_win,radiant_win,side_is_radiant,yes_is_radiant,hold_to_settlement_pnl_per_share,hold_to_settlement_roi,radiant_lead,radiant_score,dire_score,radiant_net_worth,dire_net_worth,net_worth_diff,yes_team,no_team,steam_radiant_team,steam_dire_team,steam_side_mapping,outcome_source,market_source_file,dataset_version,lobby_id,league_id,server_steam_id,building_state,tower_state,roshan_respawn_timer,stream_delay_s,source_update_age_sec,data_source,spectators,game_over,series_id,radiant_team,dire_team,radiant_team_id,dire_team_id,schema_version,source_file,series_type_market,yes_token_id,no_token_id,confidence,yes_won,no_won,asset_id,book_schema_version,book_source_file,nw_lead_clean,abs_nw_lead,score_diff,abs_score_diff,total_kills,nw_leader,kill_leader,leaders_agree,towers_alive_radiant,towers_alive_dire,tower_advantage,radiant_building_lane_0_state,radiant_building_lane_1_state,radiant_building_lane_2_state,radiant_rax_lanes_down,dire_building_lane_0_state,dire_building_lane_1_state,dire_building_lane_2_state,dire_rax_lanes_down,rax_lane_advantage,nw_change_100s,nw_change_300s,kills_change_100s,book_age_s,side_nw,side_score,side_nw_change_100s,side_nw_change_300s,side_kills_change_100s,side_tower_adv,side_rax_adv,nw_score_gap,is_scoreboard_lag,is_comeback_surge,is_state_discount,pnl_per_share,roi,strategy,family
8826099852,,,Dota 2: Tundra Esports vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,24079791571676801659682689786951413055867716462329505627331643069282585547157,106757429586285815079769433531316954710479480047585001427598589989177708540107,2026-05-26T11:25:19.189+00:00,1779794719189436672,3009.0,2026-05-26T11:25:18.929+00:00,1.779794718929e+18,260.436736,0.32,0.35,20.58,69.99,0.33499999999999996,0.02999999999999997,True,True,True,False,0.65,1.8571428571428574,4823.0,39,35,,,4823.0,Tundra Esports,Aurora,Aurora Gaming,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788068205886,19101,90286232005934102,33226898.0,3749814.0,,900.0,19.189436674118042,top_live,175.0,False,,,,,,v1.0,backfill,,106757429586285815079769433531316954710479480047585001427598589989177708540107,24079791571676801659682689786951413055867716462329505627331643069282585547157,1.0,False,True,24079791571676801659682689786951413055867716462329505627331643069282585547157,v1.0,backfill,4823.0,4823.0,4,4,74,radiant,radiant,True,8.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,7.0,7.0,2.0,2.0,-14183.0,-14838.0,16.0,0.260436736,4823.0,4.0,-14183.0,-14838.0,16.0,2.0,2.0,0.8230000000000004,False,False,False,0.65,1.8571428571428574,all_cheap_leader_nw3000_ask55,cheap_leader
8826468180,,,Dota 2: Team Falcons vs ex-HEROIC (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,79645566324579010054601289369052416023237383869987910583802039364407154227917,42439187540094876818871889853292111689239873330209080947826265764374266158284,2026-05-26T15:54:04.656+00:00,1779810844656541952,1789.0,2026-05-26T15:54:01.206+00:00,1.779810841206e+18,3450.541824,0.41,0.48,2563.77,728.63,0.44499999999999995,0.07,False,False,True,True,-0.48,-1.0,5393.0,32,12,,,5393.0,Team Falcons,ex-HEROIC,Team Falcons,ex-HEROIC,,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788272515089,19101,90286239898449934,9568401.0,4044727.0,,900.0,44.65654182434082,top_live,136.0,False,,,,,,v1.0,backfill,,79645566324579010054601289369052416023237383869987910583802039364407154227917,42439187540094876818871889853292111689239873330209080947826265764374266158284,1.0,False,True,79645566324579010054601289369052416023237383869987910583802039364407154227917,v1.0,backfill,5393.0,5393.0,20,20,44,radiant,radiant,True,9.0,8.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4804.0,4708.0,0.0,3.450541824,5393.0,20.0,4804.0,4708.0,0.0,1.0,0.0,-14.607,False,False,True,-0.48,-1.0,all_cheap_leader_nw3000_ask55,cheap_leader
8826537048,,,Dota 2: GLYPH vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,37890179607176188466534282121527399142135186086398632786573934307075684112387,25984805634702334027982031875107691593342602022609223275350442711025871367859,2026-05-26T16:30:48.463+00:00,1779813048463861504,884.0,2026-05-26T16:30:45.793+00:00,1.779813045793e+18,2670.861568,0.49,0.51,3318.22,351.83,0.5,0.020000000000000018,True,False,False,False,0.49,0.9607843137254901,-3020.0,8,12,,,-3020.0,GLYPH,Aurora,Aurora Gaming,GLYPH,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788331349395,19101,90286245564426240,8978569.0,4063167.0,,900.0,48.4638614654541,top_live,69.0,False,,,,,,v1.0,backfill,,37890179607176188466534282121527399142135186086398632786573934307075684112387,25984805634702334027982031875107691593342602022609223275350442711025871367859,1.0,True,False,37890179607176188466534282121527399142135186086398632786573934307075684112387,v1.0,backfill,-3020.0,3020.0,-4,4,20,dire,dire,True,10.0,10.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,-1744.0,-2258.0,0.0,2.670861568,3020.0,4.0,1744.0,2258.0,-0.0,-0.0,-0.0,-0.98,False,False,False,0.49,0.9607843137254901,all_cheap_leader_nw3000_ask55,cheap_leader
8826591758,,,Dota 2: PARIVISION vs Team Yandex (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,85223060305227818521045565414194424670038042342162266070065829123358163144357,62705920460289440014712656119328357331983917170769112774889622161912219226313,2026-05-26T17:20:35.347+00:00,1779816035347865600,1601.0,2026-05-26T17:20:35.089+00:00,1.779816035089e+18,258.865664,0.51,0.53,2053.88,5765.1,0.52,0.020000000000000018,True,False,False,True,0.47,0.8867924528301886,-3345.0,12,20,,,-3345.0,PARIVISION,Team Yandex,PARIVISION,Team Yandex,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788356596051,19101,90286246687728662,5308562.0,4177846.0,,900.0,0.0,top_live,153.0,False,,,,,,v1.0,backfill,,62705920460289440014712656119328357331983917170769112774889622161912219226313,85223060305227818521045565414194424670038042342162266070065829123358163144357,1.0,False,True,85223060305227818521045565414194424670038042342162266070065829123358163144357,v1.0,backfill,-3345.0,3345.0,-8,8,32,dire,dire,True,8.0,10.0,-2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,6113.0,5334.0,4.0,0.258865664,3345.0,8.0,-6113.0,-5334.0,-4.0,2.0,-0.0,-4.654999999999999,False,False,False,0.47,0.8867924528301886,all_cheap_leader_nw3000_ask55,cheap_leader
8829839456,2379813,0x3fcd393c6ab923e7292075f4b84f09b442b9ca3b5643fdee7a9db0e230e0ebe5,Dota 2: Tundra Esports vs BetBoom Team (BO1) - BLAST Slam Group Stage,MAP_WINNER,MAP_WINNER,,,YES,88633890030210711657900736810246780646284677710684150269240453809374304541484,6048123433064348584051901745086568125034547280280607811210370647059729423508,2026-05-29T08:30:41.845+00:00,1780043440711394048,1072.0,2026-05-29T08:30:38.342+00:00,1.780043438342e+18,2369.39392,0.46,0.48,85.76,220.18,0.47,0.019999999999999962,False,False,True,True,-0.48,-1.0,3073.0,0,0,3073.0,0.0,3073.0,Tundra Esports,BetBoom Team,Tundra Esports,BB,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863477110323522,19101,,,2039.0,,,0.0,,,,,Tundra Esports,BB,10150413,8255888,v1.0,backfill,,88633890030210711657900736810246780646284677710684150269240453809374304541484,6048123433064348584051901745086568125034547280280607811210370647059729423508,1.0,False,True,88633890030210711657900736810246780646284677710684150269240453809374304541484,v1.0,backfill,3073.0,3073.0,0,0,0,radiant,tied,False,10.0,0.0,10.0,,,,,,,,,,-519.0,2485.0,0.0,2.36939392,3073.0,0.0,-519.0,2485.0,0.0,10.0,,3.073,False,False,False,-0.48,-1.0,all_cheap_leader_nw3000_ask55,cheap_leader
8829882210,2379827,0xa127ef9c6d0331d87cc674d1e4ccfbc7e49a0289eef4a3515c1dd742c9175407,Dota 2: Team Spirit vs PARIVISION (BO1) - BLAST Slam Group Stage,MAP_WINNER,MAP_WINNER,,,NO,113973336987308129003654122014043078196768401012262830429783027365449360448128,46084802307113645787604900422751211346075875871877264493925591947772512378079,2026-05-29T09:41:59.415+00:00,1780047719415736832,2020.0,2026-05-29T09:41:58.979+00:00,1.780047718979e+18,436.736768,0.54,0.55,211.0,7464.0,0.545,0.010000000000000009,False,False,True,False,-0.55,-1.0,7647.0,25,22,,,7647.0,Team Spirit,PARIVISION,PARIVISION,Team Spirit,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863477141076045,19101,90286350803852312,12255378.0,4011958.0,,900.0,19.41573667526245,top_live,282.0,False,,,,,,v1.0,backfill,,46084802307113645787604900422751211346075875871877264493925591947772512378079,113973336987308129003654122014043078196768401012262830429783027365449360448128,1.0,True,False,113973336987308129003654122014043078196768401012262830429783027365449360448128,v1.0,backfill,7647.0,7647.0,3,3,47,radiant,radiant,True,8.0,7.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,2.0,1.0,1.0,-20.0,-6847.0,25.0,0.436736768,7647.0,3.0,-20.0,-6847.0,25.0,1.0,1.0,4.647,False,False,True,-0.55,-1.0,all_cheap_leader_nw3000_ask55,cheap_leader
8830175194,2379881,0xc8441f8a48ab97410e243e80e7d7f547124a17f306017aab562d64184417c95c,Dota 2: Aurora vs Xtreme Gaming (BO1) - BLAST Slam Group Stage,MAP_WINNER,MAP_WINNER,,,YES,94855087479518506139048671376659099761948204725098196505058832306986851812108,66377755907060521185626123222136880705287388747254462730815007292253885454940,2026-05-29T13:59:58.466+00:00,1780063198466869248,910.0,2026-05-29T13:59:56.767+00:00,1.780063196767e+18,1699.869184,0.54,0.55,1127.0,32.17,0.545,0.010000000000000009,True,False,False,False,0.44999999999999996,0.818181818181818,-3373.0,5,7,,,-3373.0,Aurora,Xtreme Gaming,Xtreme Gaming,Aurora Gaming,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863477309953496,19101,90286362845929503,4784274.0,4194230.0,,900.0,0.0,top_live,224.0,False,,,,,,v1.0,backfill,,94855087479518506139048671376659099761948204725098196505058832306986851812108,66377755907060521185626123222136880705287388747254462730815007292253885454940,1.0,True,False,94855087479518506139048671376659099761948204725098196505058832306986851812108,v1.0,backfill,-3373.0,3373.0,-2,2,12,dire,dire,True,8.0,11.0,-3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,-2616.0,-2069.0,0.0,1.699869184,3373.0,2.0,2616.0,2069.0,-0.0,3.0,-0.0,1.3730000000000002,False,False,False,0.44999999999999996,0.818181818181818,all_cheap_leader_nw3000_ask55,cheap_leader
8830206341,2379887,0x9f281480083ab8769caa5b93a911efe3ef249c1272ab62bc3616028a0d67e38b,Dota 2: Team Yandex vs LGD Gaming (BO1) - BLAST Slam Group Stage,MAP_WINNER,MAP_WINNER,,,NO,9356054852942657932902345232271316063725350538375268987853512976671642632148,34768324687904045335017198223874676101224086164316730378858168876807782495225,2026-05-29T14:35:56.900+00:00,1780065356900997376,1586.0,2026-05-29T14:35:56.857+00:00,1.7800653568570002e+18,43.997184,0.53,0.54,10.0,357.61,0.535,0.010000000000000009,True,True,True,False,0.45999999999999996,0.8518518518518517,7319.0,21,8,,,7319.0,Team Yandex,LGD Gaming,LGD Gaming,Team Yandex,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863477308764817,19101,90286357488196622,9633929.0,4044735.0,,900.0,0.0,top_live,130.0,False,,,,,,v1.0,backfill,,34768324687904045335017198223874676101224086164316730378858168876807782495225,9356054852942657932902345232271316063725350538375268987853512976671642632148,1.0,False,True,9356054852942657932902345232271316063725350538375268987853512976671642632148,v1.0,backfill,7319.0,7319.0,13,13,29,radiant,radiant,True,10.0,8.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,-661.0,2553.0,14.0,0.043997183999999995,7319.0,13.0,-661.0,2553.0,14.0,2.0,0.0,-5.681,False,False,True,0.45999999999999996,0.8518518518518517,all_cheap_leader_nw3000_ask55,cheap_leader
8830442388,2379909,0x61166cf2fbfcbb38a3485b9ffee4b2bfb27eeb34715ba31a12954470533c7683,Dota 2: Tundra Esports vs LGD Gaming (BO1) - BLAST Slam Group Stage,MAP_WINNER,MAP_WINNER,1,,YES,59584744069373922259464872915197093574323867923331635273391448116304083319462,98220023825583061285339586405809713011457107156744000887471001696160681821640,2026-05-29T17:11:19.061+00:00,1780074679061550592,1337.0,2026-05-29T17:11:18.482+00:00,1.7800746784820001e+18,579.550464,0.54,0.55,15.83,300.0,0.545,0.010000000000000009,False,True,False,False,-0.55,-1.0,-3283.0,11,12,,,-3283.0,Tundra Esports,LGD Gaming,LGD Gaming,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863477421400123,19101,90286367934019607,4849810.0,4192182.0,,900.0,79.06155061721802,top_live,146.0,False,,,,,,v1.0,backfill,,59584744069373922259464872915197093574323867923331635273391448116304083319462,98220023825583061285339586405809713011457107156744000887471001696160681821640,1.0,False,True,59584744069373922259464872915197093574323867923331635273391448116304083319462,v1.0,backfill,-3283.0,3283.0,-1,1,23,dire,dire,True,8.0,10.0,-2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,-1705.0,-981.0,0.0,0.579550464,3283.0,1.0,1705.0,981.0,-0.0,2.0,-0.0,2.283,False,False,False,-0.55,-1.0,all_cheap_leader_nw3000_ask55,cheap_leader
8831470350,2388075,0xb5a2e142a352a2c83f7adfabe0b1863f703ebfc489046c9ed110768be86c1c8b,Dota 2: Aurora vs Tundra Esports - Game 1 Winner,MAP_WINNER,MAP_WINNER,,,NO,63001938224149088191277871046446951719589503798943147417599639076336121925094,65217340557523114961875551987932138427102549252526215776677110690833332166439,2026-05-30T12:42:14.471+00:00,1780144934471914663,757.0,2026-05-30T12:42:13.921+00:00,1.780144933921e+18,550.914727,0.46,0.5,8.0,2197.23,0.48,0.03999999999999998,True,False,False,True,0.5,1.0,-3095.0,8,13,,,,Aurora,Tundra Esports,Aurora Gaming,Tundra Esports,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29863478156522224,19101,,,1983.0,,900.0,,live_league,86.0,False,,,,,,v1.0,raw_snapshots.csv,,65217340557523114961875551987932138427102549252526215776677110690833332166439,63001938224149088191277871046446951719589503798943147417599639076336121925094,1.0,False,True,63001938224149088191277871046446951719589503798943147417599639076336121925094,v1.0,book_events.csv,-3095.0,3095.0,-5,5,21,dire,dire,True,10.0,0.0,10.0,,,,,,,,,,-1892.0,-1892.0,1.0,0.550914727,3095.0,5.0,1892.0,1892.0,-1.0,-10.0,,-1.9049999999999998,False,False,False,0.5,1.0,all_cheap_leader_nw3000_ask55,cheap_leader
