match_id,market_id,condition_id,market_name,market_type,label_market_bucket,current_game_number,series_type,side,token_id,opposing_token_id,received_at_utc,received_at_ns,game_time_sec,book_received_at_utc,book_received_at_ns,book_age_ms,book_best_bid,book_best_ask,book_bid_size,book_ask_size,book_mid,book_spread,settled_win,radiant_win,side_is_radiant,yes_is_radiant,hold_to_settlement_pnl_per_share,hold_to_settlement_roi,radiant_lead,radiant_score,dire_score,radiant_net_worth,dire_net_worth,net_worth_diff,yes_team,no_team,steam_radiant_team,steam_dire_team,steam_side_mapping,outcome_source,market_source_file,dataset_version,lobby_id,league_id,server_steam_id,building_state,tower_state,roshan_respawn_timer,stream_delay_s,source_update_age_sec,data_source,spectators,game_over,series_id,radiant_team,dire_team,radiant_team_id,dire_team_id,schema_version,source_file,series_type_market,yes_token_id,no_token_id,confidence,yes_won,no_won,asset_id,book_schema_version,book_source_file,nw_lead_clean,abs_nw_lead,score_diff,abs_score_diff,total_kills,nw_leader,kill_leader,leaders_agree,towers_alive_radiant,towers_alive_dire,tower_advantage,radiant_building_lane_0_state,radiant_building_lane_1_state,radiant_building_lane_2_state,radiant_rax_lanes_down,dire_building_lane_0_state,dire_building_lane_1_state,dire_building_lane_2_state,dire_rax_lanes_down,rax_lane_advantage,nw_change_100s,nw_change_300s,kills_change_100s,book_age_s,side_nw,side_score,side_tower,side_rax,side_mom_100,side_mom_300,side_kill_mom,state_score,state_prob_proxy,state_edge_proxy,nw_price_gap,scoreboard_lag,momentum_lag,structure_confirms,fresh,sane_ask,liquid,pnl_per_share,roi,strategy,family
8826052816,,,Dota 2: Team Liquid vs Xtreme Gaming (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,19223801408140351690995333153255518333468133392239746489170967681456806523915,60148714332634843096901835444963403431344737213216802279204109703764029528065,2026-05-26T09:56:41.736+00:00,1779789401736390400,1555.0,2026-05-26T09:56:41.360+00:00,1.77978940136e+18,376.3904,0.64,0.65,2367.93,1162.36,0.645,0.010000000000000009,True,False,False,False,0.35,0.5384615384615384,-5048.0,17,20,,,-5048.0,Team Liquid,Xtreme Gaming,Xtreme Gaming,Team Liquid,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788033612621,19101,90286228244661270,9568401.0,4044727.0,,900.0,1.7363903522491455,top_live,145.0,False,,,,,,v1.0,backfill,,19223801408140351690995333153255518333468133392239746489170967681456806523915,60148714332634843096901835444963403431344737213216802279204109703764029528065,1.0,True,False,19223801408140351690995333153255518333468133392239746489170967681456806523915,v1.0,backfill,-5048.0,5048.0,-3,3,37,dire,dire,True,9.0,8.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,-6929.0,-2070.0,25.0,0.3763904,5048.0,3.0,-1.0,-0.0,6929.0,2070.0,-25.0,1.0815,0.7467777394424665,0.09677773944246648,3.548,True,True,False,True,True,True,0.35,0.5384615384615384,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826099852,,,Dota 2: Tundra Esports vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,24079791571676801659682689786951413055867716462329505627331643069282585547157,106757429586285815079769433531316954710479480047585001427598589989177708540107,2026-05-26T10:50:19.758+00:00,1779792619758217472,973.0,2026-05-26T10:50:15.312+00:00,1.779792615312e+18,4446.217472,0.72,0.73,1220.0,351.99,0.725,0.010000000000000009,True,True,True,False,0.27,0.36986301369863017,3284.0,15,15,,,3284.0,Tundra Esports,Aurora,Aurora Gaming,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788068205886,19101,90286232005934102,9568337.0,4044791.0,,900.0,19.758217573165894,top_live,131.0,False,,,,,,v1.0,backfill,,106757429586285815079769433531316954710479480047585001427598589989177708540107,24079791571676801659682689786951413055867716462329505627331643069282585547157,1.0,False,True,24079791571676801659682689786951413055867716462329505627331643069282585547157,v1.0,backfill,3284.0,3284.0,0,0,30,radiant,tied,False,10.0,8.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1128.0,2381.0,28.0,4.446217472,3284.0,0.0,2.0,0.0,1128.0,2381.0,28.0,0.82176,0.6946098114879679,-0.03539018851203213,0.984,True,False,True,True,True,True,0.27,0.36986301369863017,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826168772,,,Dota 2: Team Falcons vs OG (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,1384276122774117048373774917451073863014802282257446306706991733464243750399,64665524733500634285979437046772798018104625249009011807071322014697761544143,2026-05-26T11:55:33.677+00:00,1779796533677910016,638.0,2026-05-26T11:55:33.220+00:00,1.77979653322e+18,457.910016,0.78,0.79,67.04,648.83,0.785,0.010000000000000009,True,True,True,True,0.20999999999999996,0.2658227848101265,3030.0,6,2,,,3030.0,Team Falcons,OG,Team Falcons,OG,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788112273001,19101,90286232983523337,5308489.0,4177919.0,,900.0,33.67790985107422,top_live,130.0,False,,,,,,v1.0,backfill,,1384276122774117048373774917451073863014802282257446306706991733464243750399,64665524733500634285979437046772798018104625249009011807071322014697761544143,1.0,True,False,1384276122774117048373774917451073863014802282257446306706991733464243750399,v1.0,backfill,3030.0,3030.0,4,4,8,radiant,radiant,True,11.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1446.0,2255.0,8.0,0.457910016,3030.0,4.0,1.0,0.0,1446.0,2255.0,8.0,0.9503599999999999,0.7211875711675781,-0.06881242883242189,0.12999999999999945,False,False,True,True,True,True,0.20999999999999996,0.2658227848101265,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826268112,,,Dota 2: BetBoom Team vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,29884007802973720781244723611008049047881295223314256531920959986578894536390,87158254493804035070270325460456006385275324556334003871043746298430888405538,2026-05-26T13:24:19.944+00:00,1779801859944222720,1135.0,2026-05-26T13:24:15.274+00:00,1.779801855274e+18,4670.222848,0.64,0.67,93.75,726.82,0.655,0.030000000000000027,True,False,False,False,0.32999999999999996,0.49253731343283574,-3095.0,3,12,,,-3095.0,BetBoom Team,Aurora,Aurora Gaming,BB,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788170259672,19101,90286237910159362,4849809.0,4192183.0,,900.0,0.0,top_live,47.0,False,,,,,,v1.0,backfill,,29884007802973720781244723611008049047881295223314256531920959986578894536390,87158254493804035070270325460456006385275324556334003871043746298430888405538,1.0,True,False,29884007802973720781244723611008049047881295223314256531920959986578894536390,v1.0,backfill,-3095.0,3095.0,-9,9,15,dire,dire,True,9.0,10.0,-1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,-1196.0,-2255.0,14.0,4.670222848000001,3095.0,9.0,1.0,-0.0,1196.0,2255.0,-14.0,1.34316,0.7930091219901906,0.12300912199019054,1.3949999999999998,False,False,True,True,True,True,0.32999999999999996,0.49253731343283574,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826341985,,,Dota 2: Tundra Esports vs Team Spirit (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,37884471047796888606535906870917736216100387210731544012383806850150197008584,110194778291685752199679912248286758779098964058491033080411480338405844483112,2026-05-26T14:17:37.297+00:00,1779805057297546240,926.0,2026-05-26T14:17:37.125+00:00,1.779805057125e+18,172.546304,0.71,0.72,6502.72,584.91,0.715,0.010000000000000009,True,True,True,False,0.28,0.38888888888888895,3550.0,19,13,,,3550.0,Tundra Esports,Team Spirit,Team Spirit,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788212255385,19101,90286232418944023,5374025.0,4175871.0,,900.0,57.29754614830017,top_live,216.0,False,,,,,,v1.0,backfill,,110194778291685752199679912248286758779098964058491033080411480338405844483112,37884471047796888606535906870917736216100387210731544012383806850150197008584,1.0,False,True,37884471047796888606535906870917736216100387210731544012383806850150197008584,v1.0,backfill,3550.0,3550.0,6,6,32,radiant,radiant,True,11.0,9.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2205.0,3781.0,32.0,0.17254630399999998,3550.0,6.0,2.0,0.0,2205.0,3781.0,32.0,1.3982999999999999,0.8019139856453106,0.0819139856453106,1.35,False,False,True,True,True,True,0.28,0.38888888888888895,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826347921,,,Dota 2: Team Liquid vs Team Yandex (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,71561016792382290782863982737239952010244996413668435735269793102705273107848,83719396851279461976590683957452617066433773963810098055010329649741441258449,2026-05-26T14:19:26.595+00:00,1779805166595084032,858.0,2026-05-26T14:19:26.262+00:00,1.779805166262e+18,333.083904,0.76,0.77,346.5,80.28,0.765,0.010000000000000009,True,True,True,False,0.22999999999999998,0.2987012987012987,3607.0,8,7,,,3607.0,Team Liquid,Team Yandex,Team Yandex,Team Liquid,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788222895053,19101,90286236151260166,5374089.0,4175807.0,,900.0,0.0,top_live,33.0,False,,,,,,v1.0,backfill,,83719396851279461976590683957452617066433773963810098055010329649741441258449,71561016792382290782863982737239952010244996413668435735269793102705273107848,1.0,False,True,71561016792382290782863982737239952010244996413668435735269793102705273107848,v1.0,backfill,3607.0,3607.0,1,1,15,radiant,radiant,True,10.0,9.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1208.0,1880.0,15.0,0.33308390400000004,3607.0,1.0,1.0,0.0,1208.0,1880.0,15.0,0.76532,0.6825076473491708,-0.08749235265082922,0.907,True,False,True,True,True,True,0.22999999999999998,0.2987012987012987,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826437838,,,Dota 2: OG vs Xtreme Gaming (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,20490663327516821283124933648797827191968188329780026838360914915722836731929,31623152148109922254679693717758221252784544478336190414260987769072415935849,2026-05-26T15:28:22.767+00:00,1779809302767964672,1647.0,2026-05-26T15:28:17.378+00:00,1.7798092973780001e+18,5389.964544,0.67,0.68,1005.0,28.0,0.675,0.010000000000000009,True,True,True,False,0.31999999999999995,0.47058823529411753,3460.0,19,12,,,3460.0,OG,Xtreme Gaming,Xtreme Gaming,OG,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788283753705,19101,90286242391226396,9044114.0,4061110.0,,900.0,2.7679646015167236,top_live,231.0,False,,,,,,v1.0,backfill,,31623152148109922254679693717758221252784544478336190414260987769072415935849,20490663327516821283124933648797827191968188329780026838360914915722836731929,1.0,False,True,20490663327516821283124933648797827191968188329780026838360914915722836731929,v1.0,backfill,3460.0,3460.0,7,7,31,radiant,radiant,True,8.0,9.0,-1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,4277.0,2806.0,20.0,5.389964544000001,3460.0,7.0,-1.0,0.0,4277.0,2806.0,20.0,1.0518200000000002,0.7411242359579676,0.061124235957967565,1.6599999999999995,False,True,False,True,True,True,0.31999999999999995,0.47058823529411753,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826468180,,,Dota 2: Team Falcons vs ex-HEROIC (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,79645566324579010054601289369052416023237383869987910583802039364407154227917,42439187540094876818871889853292111689239873330209080947826265764374266158284,2026-05-26T15:54:04.656+00:00,1779810844656541952,1789.0,2026-05-26T15:54:01.206+00:00,1.779810841206e+18,3450.541824,0.41,0.48,2563.77,728.63,0.44499999999999995,0.07,False,False,True,True,-0.48,-1.0,5393.0,32,12,,,5393.0,Team Falcons,ex-HEROIC,Team Falcons,ex-HEROIC,,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788272515089,19101,90286239898449934,9568401.0,4044727.0,,900.0,44.65654182434082,top_live,136.0,False,,,,,,v1.0,backfill,,79645566324579010054601289369052416023237383869987910583802039364407154227917,42439187540094876818871889853292111689239873330209080947826265764374266158284,1.0,False,True,79645566324579010054601289369052416023237383869987910583802039364407154227917,v1.0,backfill,5393.0,5393.0,20,20,44,radiant,radiant,True,9.0,8.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4804.0,4708.0,28.0,3.450541824,5393.0,20.0,1.0,0.0,4804.0,4708.0,28.0,2.7154000000000003,0.9379292700131371,0.4579292700131371,5.593,False,True,True,True,True,True,-0.48,-1.0,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826537048,,,Dota 2: GLYPH vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,37890179607176188466534282121527399142135186086398632786573934307075684112387,25984805634702334027982031875107691593342602022609223275350442711025871367859,2026-05-26T16:30:48.463+00:00,1779813048463861504,884.0,2026-05-26T16:30:45.793+00:00,1.779813045793e+18,2670.861568,0.49,0.51,3318.22,351.83,0.5,0.020000000000000018,True,False,False,False,0.49,0.9607843137254901,-3020.0,8,12,,,-3020.0,GLYPH,Aurora,Aurora Gaming,GLYPH,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788331349395,19101,90286245564426240,8978569.0,4063167.0,,900.0,48.4638614654541,top_live,69.0,False,,,,,,v1.0,backfill,,37890179607176188466534282121527399142135186086398632786573934307075684112387,25984805634702334027982031875107691593342602022609223275350442711025871367859,1.0,True,False,37890179607176188466534282121527399142135186086398632786573934307075684112387,v1.0,backfill,-3020.0,3020.0,-4,4,20,dire,dire,True,10.0,10.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,-1744.0,-2258.0,3.0,2.670861568,3020.0,4.0,-0.0,-0.0,1744.0,2258.0,-3.0,0.78704,0.687195408088386,0.17719540808838596,2.92,False,False,False,True,True,True,0.49,0.9607843137254901,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
8826591758,,,Dota 2: PARIVISION vs Team Yandex (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,85223060305227818521045565414194424670038042342162266070065829123358163144357,62705920460289440014712656119328357331983917170769112774889622161912219226313,2026-05-26T17:02:31.273+00:00,1779814951273496576,517.0,2026-05-26T17:02:31.092+00:00,1.779814951092e+18,181.496576,0.75,0.77,3240.18,673.49,0.76,0.020000000000000018,True,False,False,True,0.22999999999999998,0.2987012987012987,-3347.0,2,5,,,-3347.0,PARIVISION,Team Yandex,PARIVISION,Team Yandex,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788356596051,19101,90286246687728662,4784265.0,4194239.0,,900.0,51.27349662780762,top_live,74.0,False,,,,,,v1.0,backfill,,62705920460289440014712656119328357331983917170769112774889622161912219226313,85223060305227818521045565414194424670038042342162266070065829123358163144357,1.0,False,True,85223060305227818521045565414194424670038042342162266070065829123358163144357,v1.0,backfill,-3347.0,3347.0,-3,3,7,dire,dire,True,10.0,11.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,-1631.0,-2830.0,7.0,0.181496576,3347.0,3.0,1.0,-0.0,1631.0,2830.0,-7.0,0.9195,0.7149402163014691,-0.05505978369853093,0.6469999999999998,True,False,True,True,True,True,0.22999999999999998,0.2987012987012987,all_nw_mom_discount_nw3000_mom1000_ask80,nw_momentum_discount
