model_name,other_model_name,model_exposures,other_exposures,overlap_exposures,jaccard_overlap,pct_model_overlapped,pct_other_overlapped
market_kill_momentum_logistic,market_nw_kill_momentum_logistic,25,19,10,0.29411764705882354,0.4,0.5263157894736842
market_kill_momentum_logistic,market_momentum_logistic,25,24,11,0.2894736842105263,0.44,0.4583333333333333
market_kill_momentum_logistic,market_gettoplive_logistic,25,20,10,0.2857142857142857,0.4,0.5
market_kill_momentum_logistic,market_nw_logistic,25,18,9,0.2647058823529412,0.36,0.5
market_kill_momentum_logistic,market_score_logistic,25,28,16,0.43243243243243246,0.64,0.5714285714285714
market_kill_momentum_logistic,market_transition_kill_logistic,25,25,11,0.28205128205128205,0.44,0.44
market_kill_momentum_logistic,market_kill_momentum_logistic,25,25,25,1.0,1.0,1.0
market_kill_momentum_logistic,market_transition_nw_kill_logistic,25,28,12,0.2926829268292683,0.48,0.42857142857142855
market_kill_momentum_logistic,market_transition_catchup_logistic,25,28,12,0.2926829268292683,0.48,0.42857142857142855
market_transition_nw_kill_logistic,market_nw_kill_momentum_logistic,28,19,12,0.34285714285714286,0.42857142857142855,0.631578947368421
market_transition_nw_kill_logistic,market_momentum_logistic,28,24,17,0.4857142857142857,0.6071428571428571,0.7083333333333334
market_transition_nw_kill_logistic,market_gettoplive_logistic,28,20,13,0.37142857142857144,0.4642857142857143,0.65
market_transition_nw_kill_logistic,market_nw_logistic,28,18,8,0.21052631578947367,0.2857142857142857,0.4444444444444444
market_transition_nw_kill_logistic,market_score_logistic,28,28,17,0.4358974358974359,0.6071428571428571,0.6071428571428571
market_transition_nw_kill_logistic,market_transition_kill_logistic,28,25,23,0.7666666666666667,0.8214285714285714,0.92
market_transition_nw_kill_logistic,market_kill_momentum_logistic,28,25,12,0.2926829268292683,0.42857142857142855,0.48
market_transition_nw_kill_logistic,market_transition_nw_kill_logistic,28,28,28,1.0,1.0,1.0
market_transition_nw_kill_logistic,market_transition_catchup_logistic,28,28,27,0.9310344827586207,0.9642857142857143,0.9642857142857143
market_transition_catchup_logistic,market_nw_kill_momentum_logistic,28,19,12,0.34285714285714286,0.42857142857142855,0.631578947368421
market_transition_catchup_logistic,market_momentum_logistic,28,24,17,0.4857142857142857,0.6071428571428571,0.7083333333333334
market_transition_catchup_logistic,market_gettoplive_logistic,28,20,13,0.37142857142857144,0.4642857142857143,0.65
market_transition_catchup_logistic,market_nw_logistic,28,18,8,0.21052631578947367,0.2857142857142857,0.4444444444444444
market_transition_catchup_logistic,market_score_logistic,28,28,16,0.4,0.5714285714285714,0.5714285714285714
market_transition_catchup_logistic,market_transition_kill_logistic,28,25,22,0.7096774193548387,0.7857142857142857,0.88
market_transition_catchup_logistic,market_kill_momentum_logistic,28,25,12,0.2926829268292683,0.42857142857142855,0.48
market_transition_catchup_logistic,market_transition_nw_kill_logistic,28,28,27,0.9310344827586207,0.9642857142857143,0.9642857142857143
market_transition_catchup_logistic,market_transition_catchup_logistic,28,28,28,1.0,1.0,1.0
