stage,model_name,folds,pred_rows,auc,log_loss,brier,trade_trades,trade_win_rate,trade_avg_ask,trade_total_pnl,trade_total_pnl_slip_1c,trade_total_pnl_slip_2c,folds_with_trades,folds_positive_1c,folds_positive_2c,win_rate_ci_low,win_rate_ci_high,max_match_pnl_1c_share,max_bucket_pnl_1c_share,max_league_pnl_1c_share,uncertainty_reason,verdict
lockbox,market_momentum_logistic__with_bucket,1,1968,0.8309980721820522,0.5092243270588028,0.1702390625556663,14,0.7142857142857143,0.4678571428571429,3.4500000000000006,3.3099999999999996,3.17,1,1,1,0.4535045882751561,0.882788120898909,0.21917808219178087,0.7824773413897281,0.6737160120845921,ci_low_not_above_breakeven,research_only
lockbox,market_gettoplive_logistic,1,1968,0.8463575611294015,0.48800128010641325,0.161586818159051,11,0.8181818181818182,0.5445454545454546,3.0100000000000002,2.8999999999999995,2.79,1,1,1,0.5230138624217553,0.9486333993289995,0.1940700808625337,0.7896551724137931,0.8862068965517241,ci_low_not_above_breakeven,research_only
lockbox,market_gettoplive_logistic__with_bucket,1,1968,0.8430218675542553,0.4927298570086594,0.1635072380399206,11,0.8181818181818182,0.5518181818181819,2.93,2.8200000000000003,2.71,1,1,1,0.5230138624217553,0.9486333993289995,0.19834710743801648,0.7836879432624114,0.8829787234042553,ci_low_not_above_breakeven,research_only
lockbox,market_nw_logistic,1,1968,0.8423964896140747,0.4946840825448435,0.16540578908053855,11,0.8181818181818182,0.5618181818181818,2.82,2.71,2.5999999999999996,1,1,1,0.5230138624217553,0.9486333993289995,0.20111731843575417,0.7822878228782288,0.9077490774907749,ci_low_not_above_breakeven,research_only
lockbox,market_nw_kill_momentum_logistic__with_bucket,1,1968,0.8292625191877323,0.511351966487474,0.17119902665825246,9,0.7777777777777778,0.46777777777777785,2.79,2.7,2.61,1,1,1,0.4525833436728054,0.9367762376877727,0.26755852842809363,0.7740740740740741,0.674074074074074,ci_low_not_above_breakeven,research_only
lockbox,market_transition_nw_kill_logistic__with_bucket,1,1968,0.8062310383858013,0.5465426849939268,0.1852562022780738,20,0.65,0.519,2.6199999999999997,2.42,2.2199999999999998,1,1,1,0.43285051021946463,0.8188104521320554,0.25641025641025644,1.0,0.8057851239669422,ci_low_not_above_breakeven,research_only
lockbox,market_momentum_logistic,1,1968,0.8345601422347182,0.5047314773678668,0.168410018651702,8,0.75,0.45,2.4000000000000004,2.3200000000000003,2.24,1,1,1,0.40926987910258916,0.9285223111419724,0.2758620689655172,0.7370689655172414,0.689655172413793,ci_low_not_above_breakeven,research_only
lockbox,market_transition_catchup_logistic,1,1968,0.811094514763571,0.5414384336898892,0.1831403823906742,14,0.7142857142857143,0.5535714285714286,2.2500000000000004,2.1100000000000003,1.9700000000000002,1,1,1,0.4535045882751561,0.882788120898909,0.28124999999999994,1.0,0.6161137440758294,ci_low_not_above_breakeven,research_only
lockbox,market_transition_nw_logistic,1,1968,0.8102313898378669,0.5424328005042285,0.1835358025222383,14,0.7142857142857143,0.5571428571428572,2.2,2.0599999999999996,1.92,1,1,1,0.4535045882751561,0.882788120898909,0.2868525896414343,1.0,0.6067961165048543,ci_low_not_above_breakeven,research_only
lockbox,market_nw_logistic__with_bucket,1,1968,0.8382100753037733,0.49878200647067655,0.16693626969691236,11,0.6363636363636364,0.4754545454545455,1.77,1.6600000000000001,1.5499999999999998,1,1,1,0.35379677689163724,0.8483377638586862,0.2727272727272727,0.8313253012048193,0.8313253012048194,ci_low_not_above_breakeven,research_only
