entry_timing,trades,matches,avg_ask,settlement_win_rate,raw_pnl,pnl_1c,pnl_2c,future_bid_clv_15s,future_bid_clv_30s,future_bid_clv_60s,future_bid_clv_120s,positive_bid_clv_rate
first_score_change,194,102,0.5240206185567011,0.4896907216494845,-6.66,-8.600000000000001,-10.540000000000003,-0.04145833333333334,-0.04931818181818184,-0.04806201550387597,-0.06114285714285715,0.20155038759689922
first_nw_change,62,38,0.5154838709677418,0.5,-0.9600000000000002,-1.5800000000000012,-2.2000000000000015,-0.028750000000000005,-0.04470588235294118,-0.07903225806451612,-0.050740740740740746,0.16129032258064516
score_nw_same_snapshot,184,100,0.5271086956521739,0.483695652173913,-7.9879999999999995,-9.828000000000001,-11.668000000000003,-0.047499999999999994,-0.05442307692307692,-0.05933884297520663,-0.061500000000000006,0.24793388429752067
score_then_nw_catchup,43,26,0.5137209302325583,0.4883720930232558,-1.0899999999999999,-1.5200000000000002,-1.9500000000000006,-0.020000000000000004,-0.048571428571428564,-0.06699999999999999,-0.044375,0.05
nw_then_score_catchup,152,87,0.5064473684210526,0.46710526315789475,-5.9799999999999995,-7.500000000000002,-9.020000000000001,-0.07896551724137932,-0.04653846153846153,-0.05201923076923076,-0.07853932584269663,0.14423076923076922
confirmed_transition,196,103,0.5290714285714286,0.49489795918367346,-6.698000000000001,-8.658000000000001,-10.618000000000002,-0.048636363636363644,-0.07733333333333334,-0.05854700854700856,-0.043861386138613866,0.2222222222222222
post_transition_close,181,94,0.5243646408839779,0.49171270718232046,-5.910000000000002,-7.720000000000002,-9.530000000000003,-0.053000000000000005,-0.06290909090909091,-0.04833333333333333,-0.05634615384615384,0.15079365079365079
