stage,fold,model_name,model_version,training_cutoff_match_time,match_id,market_id,label_market_bucket,token_id,side,received_at_utc,received_at_ns,game_time_sec,league_id,settled_win,fair_prob,calibrated_prob,book_best_ask,book_best_bid,book_spread,book_ask_size,edge,entry_threshold,paper_entry_price,pnl_per_share,pnl_slip_1c,pnl_slip_2c,side_nw,side_score,side_tower,side_rax,side_mom_100,reason
walk_forward,1,logistic_residual_trade,market_aware_residual_v1,2026-05-30T17:20:46.978+00:00,8833492242,2403734,MAP_WINNER,96268178216805690770704912445355569211511950448338971380774460570621156733450,NO,2026-05-31T18:28:57.217+00:00,1780252137217068924,649.0,19699,True,0.5138121546961325,0.5138121546961325,0.64,0.59,0.050000000000000044,160.94,0.15044415127610689,0.5,0.64,0.36,0.35,0.33999999999999997,699.0,1.0,-0.0,-0.0,265.0,residual_trade_prob
walk_forward,1,hgb_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,73399839580912218378591774206488912368784281538796408187880296103078741849035,YES,2026-05-30T17:47:48.538+00:00,1780163261017282882,696.0,19101,False,0.6560171891886114,0.7445887445887446,0.5,0.49,0.010000000000000009,40.0,0.24458874458874458,0.02,0.5,-0.5,-0.51,-0.52,1233.0,-0.0,,,-523.0,model_edge
walk_forward,1,hgb_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:30:10.415+00:00,1780223410415617063,607.0,19699,True,0.7184525768160928,0.8070175438596491,0.52,0.5,0.020000000000000018,63.71,0.28701754385964906,0.02,0.52,0.48,0.47,0.45999999999999996,777.0,-1.0,0.0,0.0,1397.0,model_edge
walk_forward,1,hgb_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,18668237301412372796198305592692740219807944817349786566421892732335552830280,YES,2026-05-31T11:36:12.389+00:00,1780227372389298065,652.0,19699,False,0.44253074365848377,0.45714285714285713,0.19,0.18,0.010000000000000009,64.84,0.2671428571428571,0.02,0.19,-0.19,-0.2,-0.21,-2662.0,-1.0,1.0,0.0,0.0,model_edge
walk_forward,1,hgb_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833327581,2397078,MATCH_WINNER_GAME3_PROXY,5200208202788358977024120864716360533041240709693704380236601684681552181297,NO,2026-05-31T16:33:04.444+00:00,1780245182140178951,616.0,19699,False,0.223370792556082,0.19245283018867926,0.1,0.05,0.05,80.0,0.09245283018867925,0.02,0.1,-0.1,-0.11,-0.12000000000000001,-3349.0,0.0,,,-263.0,model_edge
walk_forward,1,hgb_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833492242,2403734,MAP_WINNER,114748806522711322642193195763963446077941944027455536777969652840894397312076,YES,2026-05-31T18:28:57.217+00:00,1780252137217068924,649.0,19699,False,0.4401816715126201,0.45714285714285713,0.41,0.36,0.04999999999999999,30.0,0.04714285714285715,0.02,0.41,-0.41,-0.42,-0.43,-699.0,-1.0,0.0,0.0,-265.0,model_edge
walk_forward,1,rf_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,73399839580912218378591774206488912368784281538796408187880296103078741849035,YES,2026-05-30T17:47:48.538+00:00,1780163261017282882,696.0,19101,False,0.6323247341829353,0.6637931034482759,0.5,0.49,0.010000000000000009,40.0,0.1637931034482759,0.05,0.5,-0.5,-0.51,-0.52,1233.0,-0.0,,,-523.0,model_edge
walk_forward,1,rf_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:30:10.415+00:00,1780223410415617063,607.0,19699,True,0.6063451654210535,0.6341463414634146,0.52,0.5,0.020000000000000018,63.71,0.11414634146341462,0.05,0.52,0.48,0.47,0.45999999999999996,777.0,-1.0,0.0,0.0,1397.0,model_edge
walk_forward,1,rf_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,18668237301412372796198305592692740219807944817349786566421892732335552830280,YES,2026-05-31T11:36:12.389+00:00,1780227372389298065,652.0,19699,False,0.43442881674992384,0.4567901234567901,0.19,0.18,0.010000000000000009,64.84,0.2667901234567901,0.05,0.19,-0.19,-0.2,-0.21,-2662.0,-1.0,1.0,0.0,0.0,model_edge
walk_forward,1,rf_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833327581,2397078,MATCH_WINNER_GAME3_PROXY,5200208202788358977024120864716360533041240709693704380236601684681552181297,NO,2026-05-31T16:33:04.444+00:00,1780245182140178951,616.0,19699,False,0.32074044627131887,0.2,0.1,0.05,0.05,80.0,0.1,0.05,0.1,-0.1,-0.11,-0.12000000000000001,-3349.0,0.0,,,-263.0,model_edge
walk_forward,1,rf_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833492242,2403734,MAP_WINNER,114748806522711322642193195763963446077941944027455536777969652840894397312076,YES,2026-05-31T18:29:24.522+00:00,1780252158843316651,649.0,19699,False,0.4817233256228945,0.4661016949152542,0.41,0.36,0.04999999999999999,30.0,0.05610169491525424,0.05,0.41,-0.41,-0.42,-0.43,-699.0,0.0,,,-265.0,model_edge
