model_name,canonical_exposure_id,match_id,current_game_number,side,rows,settled_win,avg_ask,pnl_1c,positive_pnl_1c,positive_pnl_share
market_kill_momentum_logistic,8835728100::MAPEQUIV::NO,8835728100,,NO,1,True,0.81,0.17999999999999994,4.849999999999999,0.03711340206185567
market_kill_momentum_logistic,8833492242::MAPEQUIV::YES,8833492242,,YES,1,False,0.13,-0.14,4.849999999999999,0.0
market_kill_momentum_logistic,8833592202::3::NO,8833592202,3,NO,1,False,0.11,-0.12,4.849999999999999,0.0
market_kill_momentum_logistic,8836485094::MAPEQUIV::YES,8836485094,,YES,1,True,0.89,0.09999999999999998,4.849999999999999,0.020618556701030927
market_kill_momentum_logistic,8833327581::3::NO,8833327581,3,NO,1,False,0.06,-0.06999999999999999,4.849999999999999,0.0
market_momentum_logistic,8835490699::MAPEQUIV::NO,8835490699,,NO,1,True,0.11,0.88,7.43,0.11843876177658143
market_momentum_logistic,8835490699::MAPEQUIV::YES,8835490699,,YES,1,False,0.68,-0.6900000000000001,7.43,0.0
market_momentum_logistic,8835703860::1::YES,8835703860,1,YES,1,True,0.35,0.64,7.43,0.08613728129205922
market_momentum_logistic,8835609186::MAPEQUIV::NO,8835609186,,NO,1,True,0.39,0.6,7.43,0.08075370121130551
market_momentum_logistic,8836583316::MAPEQUIV::NO,8836583316,,NO,1,True,0.43,0.56,7.43,0.07537012113055183
market_momentum_logistic,8834932746::3::YES,8834932746,3,YES,1,True,0.44,0.55,7.43,0.0740242261103634
market_momentum_logistic,8834932746::3::NO,8834932746,3,NO,1,False,0.52,-0.53,7.43,0.0
market_momentum_logistic,8836485094::MAPEQUIV::NO,8836485094,,NO,1,False,0.5,-0.51,7.43,0.0
market_momentum_logistic,8835703860::MAPEQUIV::YES,8835703860,,YES,1,True,0.5,0.49,7.43,0.06594885598923284
market_momentum_logistic,8835609186::MAPEQUIV::YES,8835609186,,YES,1,False,0.46,-0.47000000000000003,7.43,0.0
market_momentum_logistic,8836692392::3::YES,8836692392,3,YES,1,True,0.52,0.47,7.43,0.063257065948856
market_momentum_logistic,8836485118::MAPEQUIV::YES,8836485118,,YES,1,True,0.53,0.45999999999999996,7.43,0.06191117092866756
market_momentum_logistic,8836442480::MAPEQUIV::YES,8836442480,,YES,1,True,0.55,0.43999999999999995,7.43,0.05921938088829071
market_momentum_logistic,8836220468::MAPEQUIV::NO,8836220468,,NO,1,False,0.42,-0.43,7.43,0.0
market_momentum_logistic,8832812084::MAPEQUIV::NO,8832812084,,NO,1,True,0.58,0.41000000000000003,7.43,0.05518169582772545
market_momentum_logistic,8836292316::MAPEQUIV::YES,8836292316,,YES,1,True,0.59,0.4,7.43,0.05383580080753702
market_momentum_logistic,8835818773::MAPEQUIV::NO,8835818773,,NO,1,True,0.6,0.39,7.43,0.05248990578734859
market_momentum_logistic,8836624153::3::NO,8836624153,3,NO,1,True,0.61,0.38,7.43,0.051144010767160165
market_momentum_logistic,8836485094::MAPEQUIV::YES,8836485094,,YES,1,True,0.64,0.35,7.43,0.047106325706594884
market_momentum_logistic,8834230023::3::NO,8834230023,3,NO,1,True,0.68,0.30999999999999994,7.43,0.041722745625841176
market_momentum_logistic,8835428935::MAPEQUIV::NO,8835428935,,NO,1,False,0.16,-0.17,7.43,0.0
market_momentum_logistic,8833592202::3::NO,8833592202,3,NO,1,False,0.11,-0.12,7.43,0.0
market_momentum_logistic,8835373075::MAPEQUIV::NO,8835373075,,NO,1,False,0.1,-0.11,7.43,0.0
market_momentum_logistic,8835428935::MAPEQUIV::YES,8835428935,,YES,1,True,0.89,0.09999999999999998,7.43,0.013458950201884251
market_nw_kill_momentum_logistic,8835609186::MAPEQUIV::NO,8835609186,,NO,1,True,0.26,0.73,6.93,0.10533910533910534
market_nw_kill_momentum_logistic,8835490699::MAPEQUIV::NO,8835490699,,NO,1,True,0.33,0.6599999999999999,6.93,0.09523809523809523
market_nw_kill_momentum_logistic,8835703860::1::YES,8835703860,1,YES,1,True,0.35,0.64,6.93,0.09235209235209235
market_nw_kill_momentum_logistic,8835703860::MAPEQUIV::YES,8835703860,,YES,1,True,0.37,0.62,6.93,0.08946608946608947
market_nw_kill_momentum_logistic,8836583316::MAPEQUIV::NO,8836583316,,NO,1,True,0.43,0.56,6.93,0.08080808080808081
market_nw_kill_momentum_logistic,8834932746::3::YES,8834932746,3,YES,1,True,0.46,0.53,6.93,0.07647907647907648
market_nw_kill_momentum_logistic,8835609186::MAPEQUIV::YES,8835609186,,YES,1,False,0.5,-0.51,6.93,0.0
market_nw_kill_momentum_logistic,8836485094::MAPEQUIV::NO,8836485094,,NO,1,False,0.5,-0.51,6.93,0.0
market_nw_kill_momentum_logistic,8836485118::MAPEQUIV::YES,8836485118,,YES,1,True,0.52,0.47,6.93,0.06782106782106782
market_nw_kill_momentum_logistic,8836692392::3::YES,8836692392,3,YES,1,True,0.52,0.47,6.93,0.06782106782106782
market_nw_kill_momentum_logistic,8836442480::MAPEQUIV::YES,8836442480,,YES,1,True,0.55,0.43999999999999995,6.93,0.06349206349206349
market_nw_kill_momentum_logistic,8836220468::MAPEQUIV::NO,8836220468,,NO,1,False,0.42,-0.43,6.93,0.0
market_nw_kill_momentum_logistic,8836292316::MAPEQUIV::YES,8836292316,,YES,1,True,0.59,0.4,6.93,0.05772005772005773
market_nw_kill_momentum_logistic,8836624153::3::NO,8836624153,3,NO,1,True,0.61,0.38,6.93,0.05483405483405484
