model_name,score_kind,ask_filter,threshold,lockbox_matches,raw_signal_rows,trades,wins,win_rate,avg_ask,pnl,pnl_1c,pnl_2c
winprob_hgb,win_prob,ask_20_60,0.02,24,1360,16,9,0.5625,0.43875000000000003,1.98,1.8199999999999998,1.6599999999999997
winprob_hgb,win_prob,ask_20_60,0.04,24,1274,16,9,0.5625,0.43875000000000003,1.98,1.8199999999999998,1.6599999999999997
winprob_hgb,win_prob,ask_20_60,0.0,24,1437,16,9,0.5625,0.439375,1.9699999999999998,1.8099999999999996,1.6499999999999995
winprob_hgb,win_prob,ask_20_60,-0.02,24,1526,16,9,0.5625,0.439375,1.9699999999999998,1.8099999999999996,1.6499999999999995
value_logistic,value_class,ask_20_50,0.5,24,236,11,7,0.6363636363636364,0.46727272727272723,1.86,1.75,1.64
value_logistic,value_class,ask_20_50,0.52,24,160,9,6,0.6666666666666666,0.4655555555555555,1.81,1.72,1.63
winprob_logistic,win_prob,ask_20_50,-0.02,24,638,12,7,0.5833333333333334,0.4291666666666667,1.8499999999999999,1.7299999999999998,1.6099999999999997
winprob_hgb,win_prob,ask_15_70,0.02,24,1694,19,10,0.5263157894736842,0.42684210526315786,1.8900000000000006,1.7000000000000002,1.5100000000000002
winprob_hgb,win_prob,ask_15_70,0.04,24,1593,19,10,0.5263157894736842,0.42684210526315786,1.8900000000000001,1.7,1.51
winprob_hgb,win_prob,ask_15_70,0.0,24,1784,19,10,0.5263157894736842,0.42736842105263156,1.8800000000000003,1.6900000000000002,1.5000000000000002
winprob_hgb,win_prob,ask_15_70,-0.02,24,1908,19,10,0.5263157894736842,0.42736842105263156,1.8800000000000003,1.6900000000000002,1.5000000000000002
value_logistic,value_class,ask_25_55,0.62,24,46,5,4,0.8,0.4800000000000001,1.5999999999999999,1.5499999999999998,1.4999999999999998
winprob_logistic,win_prob,ask_15_70,0.04,24,495,10,7,0.7,0.5660000000000001,1.3400000000000003,1.2399999999999998,1.1400000000000001
winprob_hgb,win_prob,ask_20_50,0.0,24,1212,16,8,0.5,0.40937500000000004,1.4499999999999997,1.2899999999999996,1.1299999999999994
value_logistic,value_class,ask_25_55,0.52,24,408,13,8,0.6153846153846154,0.5084615384615384,1.3899999999999997,1.2599999999999993,1.129999999999999
winprob_hgb,win_prob,ask_20_50,-0.02,24,1261,16,8,0.5,0.413125,1.3899999999999997,1.2299999999999995,1.0699999999999994
value_hgb,value_class,ask_25_55,0.55,24,1007,15,8,0.5333333333333333,0.44333333333333336,1.3499999999999996,1.1999999999999997,1.0499999999999996
winprob_hgb,win_prob,ask_25_55,0.0,24,1275,16,8,0.5,0.414375,1.3699999999999997,1.2099999999999995,1.0499999999999994
winprob_logistic,win_prob,ask_20_60,0.06,24,202,7,5,0.7142857142857143,0.547142857142857,1.1700000000000002,1.1,1.03
value_hgb,value_class,ask_15_70,0.65,24,1096,14,9,0.6428571428571429,0.5499999999999999,1.2999999999999998,1.1600000000000001,1.0199999999999996
winprob_hgb,win_prob,ask_25_55,-0.02,24,1344,16,8,0.5,0.41812499999999997,1.3099999999999996,1.1499999999999995,0.9899999999999994
value_hgb,value_class,ask_25_55,0.58,24,894,13,7,0.5384615384615384,0.44461538461538463,1.2199999999999998,1.0899999999999996,0.9599999999999995
value_hgb,value_class,ask_20_50,0.48,24,1018,16,8,0.5,0.421875,1.2499999999999998,1.0899999999999996,0.9299999999999995
winprob_logistic,win_prob,ask_15_70,0.02,24,892,12,8,0.6666666666666666,0.5716666666666667,1.1400000000000001,1.02,0.8999999999999998
winprob_logistic,win_prob,ask_20_60,0.08,24,178,4,3,0.75,0.5125,0.9500000000000001,0.91,0.87
winprob_logistic,win_prob,ask_20_60,0.1,24,174,4,3,0.75,0.5125,0.9500000000000001,0.91,0.87
winprob_logistic,win_prob,ask_25_55,0.0,24,538,11,6,0.5454545454545454,0.44636363636363635,1.0899999999999999,0.9799999999999998,0.8699999999999997
value_logistic,value_class,ask_25_55,0.6,24,83,8,5,0.625,0.50375,0.9699999999999998,0.8899999999999997,0.8099999999999996
value_logistic,value_class,ask_20_60,0.65,24,112,9,6,0.6666666666666666,0.5599999999999999,0.9600000000000001,0.87,0.7799999999999999
value_hgb,value_class,ask_25_55,0.48,24,1217,16,8,0.5,0.43375,1.0599999999999998,0.8999999999999997,0.7399999999999995
value_hgb,value_class,ask_25_55,0.52,24,1098,16,8,0.5,0.435,1.0399999999999996,0.8799999999999994,0.7199999999999993
value_logistic,value_class,ask_25_55,0.58,24,143,10,6,0.6,0.509,0.9099999999999997,0.8099999999999996,0.7099999999999995
winprob_logistic,win_prob,ask_20_50,0.1,24,140,3,2,0.6666666666666666,0.4166666666666667,0.75,0.72,0.69
value_logistic,value_class,ask_20_50,0.6,24,47,3,2,0.6666666666666666,0.4166666666666667,0.75,0.72,0.69
winprob_logistic,win_prob,ask_20_50,0.08,24,144,3,2,0.6666666666666666,0.4166666666666667,0.75,0.72,0.69
value_logistic,value_class,ask_20_50,0.65,24,21,3,2,0.6666666666666666,0.4166666666666667,0.75,0.72,0.69
value_logistic,value_class,ask_20_50,0.62,24,34,3,2,0.6666666666666666,0.4166666666666667,0.75,0.72,0.69
winprob_logistic,win_prob,ask_25_55,0.08,24,153,3,2,0.6666666666666666,0.43333333333333335,0.7,0.6699999999999999,0.6399999999999999
value_logistic,value_class,ask_25_55,0.65,24,30,3,2,0.6666666666666666,0.43333333333333335,0.7,0.6699999999999999,0.6399999999999999
winprob_logistic,win_prob,ask_25_55,0.1,24,149,3,2,0.6666666666666666,0.43333333333333335,0.7,0.6699999999999999,0.6399999999999999
winprob_logistic,win_prob,ask_15_70,0.06,24,254,9,6,0.6666666666666666,0.5844444444444444,0.7400000000000001,0.65,0.5599999999999999
winprob_logistic,win_prob,ask_20_60,0.02,24,481,12,7,0.5833333333333334,0.5266666666666665,0.68,0.5599999999999999,0.43999999999999984
value_hgb,value_class,ask_20_60,0.5,24,1405,16,8,0.5,0.453125,0.7499999999999998,0.5899999999999996,0.4299999999999995
value_hgb,value_class,ask_20_60,0.52,24,1303,16,8,0.5,0.453125,0.7499999999999998,0.5899999999999996,0.4299999999999995
value_hgb,value_class,ask_15_70,0.62,24,1227,16,9,0.5625,0.524375,0.6099999999999999,0.44999999999999973,0.2899999999999996
value_logistic,value_class,ask_25_55,0.55,24,260,11,6,0.5454545454545454,0.5063636363636363,0.4299999999999997,0.3199999999999996,0.20999999999999952
value_hgb,value_class,ask_20_60,0.55,24,1155,16,8,0.5,0.47125000000000006,0.45999999999999996,0.2999999999999998,0.13999999999999957
winprob_logistic,win_prob,ask_15_70,0.1,24,197,5,3,0.6,0.5660000000000001,0.17000000000000004,0.12,0.06999999999999995
winprob_logistic,win_prob,ask_15_70,0.08,24,201,5,3,0.6,0.5660000000000001,0.17000000000000004,0.12,0.06999999999999995
value_logistic,value_class,ask_20_60,0.6,24,318,12,7,0.5833333333333334,0.5608333333333333,0.27000000000000024,0.15000000000000013,0.030000000000000027
winprob_logistic,win_prob,ask_20_60,0.0,24,791,12,6,0.5,0.4791666666666667,0.2500000000000001,0.13,0.009999999999999898
value_logistic,value_class,ask_20_60,0.62,24,236,12,7,0.5833333333333334,0.5666666666666665,0.20000000000000018,0.08000000000000007,-0.040000000000000036
winprob_logistic,win_prob,ask_20_60,-0.02,24,1161,13,6,0.46153846153846156,0.47538461538461535,-0.17999999999999983,-0.30999999999999994,-0.44000000000000006
value_hgb,value_class,ask_20_60,0.58,24,1017,15,7,0.4666666666666667,0.48799999999999993,-0.31999999999999984,-0.47,-0.6200000000000001
value_hgb,value_class,ask_20_60,0.48,24,1507,16,7,0.4375,0.45687500000000003,-0.3100000000000001,-0.47000000000000025,-0.6300000000000003
winprob_logistic,win_prob,ask_25_55,-0.02,24,870,12,5,0.4166666666666667,0.45,-0.3999999999999999,-0.52,-0.6400000000000001
value_hgb,value_class,ask_15_70,0.6,24,1302,16,8,0.5,0.528125,-0.44999999999999996,-0.6100000000000001,-0.7700000000000002
value_logistic,value_class,ask_25_55,0.5,24,510,13,6,0.46153846153846156,0.5023076923076923,-0.5300000000000002,-0.6600000000000004,-0.7900000000000005
value_hgb,value_class,ask_15_70,0.55,24,1570,18,8,0.4444444444444444,0.49222222222222217,-0.8600000000000003,-1.0400000000000003,-1.2200000000000004
value_logistic,value_class,ask_15_70,0.65,24,675,16,9,0.5625,0.621875,-0.9500000000000002,-1.1100000000000003,-1.2700000000000005
value_logistic,value_class,ask_20_60,0.55,24,604,15,7,0.4666666666666667,0.5533333333333331,-1.3,-1.4500000000000002,-1.6000000000000003
value_logistic,value_class,ask_20_60,0.58,24,432,15,7,0.4666666666666667,0.5593333333333333,-1.3900000000000001,-1.54,-1.6900000000000002
value_logistic,value_class,ask_15_70,0.6,24,986,16,8,0.5,0.60375,-1.6599999999999997,-1.8199999999999996,-1.9799999999999998
value_hgb,value_class,ask_15_70,0.58,24,1385,17,7,0.4117647058823529,0.5082352941176471,-1.6400000000000001,-1.8100000000000003,-1.9800000000000004
value_logistic,value_class,ask_15_70,0.62,24,862,16,8,0.5,0.609375,-1.7499999999999998,-1.9100000000000001,-2.0700000000000003
value_hgb,value_class,ask_15_70,0.5,24,1914,18,7,0.3888888888888889,0.4872222222222222,-1.7699999999999998,-1.95,-2.13
value_hgb,value_class,ask_15_70,0.52,24,1772,18,7,0.3888888888888889,0.4872222222222222,-1.7699999999999998,-1.95,-2.13
value_logistic,value_class,ask_25_55,0.48,24,626,13,4,0.3076923076923077,0.48769230769230776,-2.34,-2.47,-2.6
value_logistic,value_class,ask_20_60,0.52,24,775,15,6,0.4,0.5546666666666666,-2.3200000000000003,-2.4700000000000006,-2.62
value_logistic,value_class,ask_15_70,0.52,24,1500,16,7,0.4375,0.5862499999999999,-2.38,-2.54,-2.7
value_logistic,value_class,ask_15_70,0.55,24,1316,16,7,0.4375,0.588125,-2.4099999999999997,-2.57,-2.73
value_logistic,value_class,ask_15_70,0.58,24,1119,16,7,0.4375,0.59375,-2.5,-2.66,-2.8200000000000003
winprob_logistic,win_prob,ask_15_70,0.0,24,1290,13,5,0.38461538461538464,0.5853846153846154,-2.61,-2.74,-2.87
value_hgb,value_class,ask_15_70,0.48,24,2036,19,6,0.3157894736842105,0.4731578947368421,-2.99,-3.1800000000000006,-3.3700000000000006
value_logistic,value_class,ask_20_60,0.5,24,885,15,5,0.3333333333333333,0.5526666666666666,-3.2900000000000005,-3.4400000000000004,-3.5900000000000003
winprob_logistic,win_prob,ask_15_70,-0.02,24,1753,17,6,0.35294117647058826,0.5476470588235294,-3.31,-3.4800000000000004,-3.6500000000000004
value_logistic,value_class,ask_15_70,0.5,24,1614,16,6,0.375,0.584375,-3.35,-3.5100000000000002,-3.6700000000000004
value_logistic,value_class,ask_20_60,0.48,24,1001,15,4,0.26666666666666666,0.5513333333333333,-4.27,-4.42,-4.57
value_logistic,value_class,ask_15_70,0.48,24,1733,16,5,0.3125,0.583125,-4.33,-4.49,-4.65
